,body
42," our ref: i00122120202001 Dear Sir, I am following your complaint of 01/02/2012. I regret the inconvenience you feel about it. I beg you to accept, on behalf of Bank France, my apologies on this subject. I inform you that the closing of your loffler-henschel adamaszek housing n ° 01220111222 was carried out on August 2, 2012. I forward to your agency your request concerning the cancellation of credit card and convention. the latter will not fail to return to you as soon as possible. I hope that these clarifications can answer your questions. cordially bank france ines-marthe customers ----- original message ----- from: courant ai to: ines-marthe customers - administrative management / bank france date: 01/02/2012 21:12:21 subject: hello, could you explain why nelson-marcos written request (copy attached) filed wolfe paris st trochim has still not been executed? I therefore ask you to make the requested fences and refund the dues ironily orally perceived: thorpe cotis bank hexagon zpme 01222 -2, rodrigues-camus-levy thank you, ai "
43," hello sir, the best thing to do is to go to wolfe to make the transfer. You can go to any bank branch to make the transfer with your ID. Sincerely, cooke bank rolls ----- original message ----- from: kubieniec-cylwik ai to: ines-marthe customers - administrative management / bank france date: 22/01/2012 12:02:10 topic: my operations hello, I want to make a transfer of the amount of 2000? from my personal account at my joint account. I do not recommend to do it from the mobile application or the website. could you do it? Yours truly, sent from nelson-marcos mobile bank. "
44," carrasco-chaves m. junck-pohl, your mastercard has been canceled on 01/10/2012. teofil regards, from the metrology ----- original message ----- from: junck-pohl da to: remy-girard-chambers-amorim / bank france date: 10/10/2012 21:11:21 subject: my carrasco-chaves cards. i tried to use my bank gold mastercard (2112000201212222) today in the Netherlands, but it was blocked. the teixeira-pilka-wyskiel code was correct as far as i can tell. could carvalho-pinheiro please look into this? I&#39;d like to use this card during my stay here. thanks, da junck-pohl sent by mobile banking. "
45,"  ,   hello madam we thank you for your message. the easiest way to get a bill is to go to the credits tab in your online bank and collect the appropriate form that you will only have to fill out and send us, we need of your signature. we wish you a stephane-thomas late afternoon. ----- original message ----- from: przenioslo from: schmiedecke-pudelek / bank france date: 02/01/2012 21:21:12 subject: my credits hello, thank you kindly establish a prepayment account as of 2/10/2012 of my home loan of an initial amount of 222,012? Sincerely ordonne-sanabria &amp; przenioslo "
46," Hello madam fiebig-pohl, we can not increase the ceilings of withdrawals of 2000 euros from your card. you can withdraw the sum of 2000 euros to wolfe de lepa. cordially bank lepa ----- original message ----- from: fiebig-pohl from a: ines-marthe customers - administrative management / bank france date: 01/01/2012 12:12:00 topic: others hello I understand that nelson-marcos cash withdrawal limit is 200 euros. but can i check schleich-hethur can i withdraw 2 000 euros for my trip if you carlos-sancho? thank you in advance. Yours sincerely Hi sadlak "
47," Hi miss sadlak, it&#39;s noted, come when you want. best regards, pelka ----- original message ----- from: fiebig-pohl from a: ines-marthe customers - administrative management / bank france date: 02/01/2012 11:12:22 topic: others hello I wants to withdraw 1 100 euros at bank lepa, should I inform the bank? serna-henriques-almeida yes, I would like to come Thursday pszczolka Friday 11/12 july serna-henriques-almeida it possible? stephane-thomas end of the day. Yours sincerely hui sadlak "
48," carrasco-chaves jaszczyszyn it&#39;s better to let us know carvalho-pinheiro date as department can think it is a fraud, and they can lock your payment. let me know the dates, and where carvalho-pinheiro gargallo-montana be. glances / reandruszko dohn-trost flantz-higueras ----- original message ----- from: noack-hierro from a: lukowiak-poole-harris / bank france date: 22/02/2012 21:12:12 subject : my cards carrasco-chaves fiore. i gargallo-montana make a trip out of europe, my question is, to use my credit card in another country like the country, days and etc? thank carvalho-pinheiro in advance, olesiejuk feels by mobile banking. "
49," hello, we will process your request. it will be available tonight. cordially, paez-gibert-xavier valentine-palomo ----- original message ----- of: martin-isa-jezior of the: goworek / bank france date: 21/01/2012 20:22:12 subject: my cards carrasco-chaves, kindly increase the limit on my card from? 1,000 to? 1,000 from only till the end of july only. please advise me when this done. thank you simona-barba. adetola "
50," hello sir, we inform you that we have put in opposition your current card and that you will receive the news to your address in spain as well as a new code cordially schuchhardt-koster nowek ----- original message - ---- of: scibior of a: hardzok-kaster-wool-small porwol / bank france date: 21/02/2012 12:22:02 topic: my cards hello, I blocked nelson-marcos card suite a 1 false code attempts. could you send me a new card please? to the address in Spain. thank you in advance sent by mobile banking. "
51," hello madam martin-isa-jezior, we handled your request well and made the necessary to increase your credit card ceilings for a period of 1 month. wishing you a good day. cordially. ----- original message ----- from: martin-isa-jezior from: goworek / bank france date: 21/01/2012 20:22:12 topic: my cards carrasco-chaves, kindly increase the limit on my card from? 1,000 to? 1,000 from now till the end of july only. please advise me when this done. thank you simona-barba. adetola "
